thread_id,Gstart,Gend,request_time,push_start_time,push_end_time,gpu_start_time,gpu_end_time,pull_start_time,pull_end_time,push_delay,compute_delay,pull_delay,total_delay
4,0,306,1745484465261.41,1745484465423.40,1745484465423.57,1745484465423.57,1745484465440.76,1745484465440.76,1745484465440.82,0.17,17.20,0.06,17.42
7,0,306,1745484465278.90,1745484465440.83,1745484465441.02,1745484465441.02,1745484465458.18,1745484465458.18,1745484465458.24,0.19,17.16,0.06,17.41
3,0,306,1745484465296.46,1745484465458.25,1745484465458.42,1745484465458.42,1745484465475.66,1745484465475.66,1745484465475.72,0.17,17.25,0.06,17.47
2,0,306,1745484465313.75,1745484465475.73,1745484465475.90,1745484465475.90,1745484465493.02,1745484465493.02,1745484465493.30,0.17,17.12,0.28,17.57
5,0,306,1745484465330.95,1745484465493.31,1745484465493.91,1745484465493.91,1745484465510.99,1745484465510.99,1745484465511.07,0.60,17.08,0.08,17.77
8,0,306,1745484465348.18,1745484465511.08,1745484465511.26,1745484465511.26,1745484465527.96,1745484465527.96,1745484465528.02,0.17,16.70,0.06,16.93
1,0,306,1745484465365.72,1745484465528.03,1745484465528.20,1745484465528.20,1745484465545.48,1745484465545.48,1745484465545.54,0.17,17.28,0.06,17.52
9,0,306,1745484465382.76,1745484465545.55,1745484465545.72,1745484465545.72,1745484465562.31,1745484465562.31,1745484465562.40,0.17,16.59,0.09,16.85
6,0,306,1745484465400.42,1745484465562.41,1745484465562.90,1745484465562.90,1745484465580.15,1745484465580.15,1745484465580.21,0.49,17.25,0.06,17.79
11,0,306,1745484465417.87,1745484465580.21,1745484465580.38,1745484465580.38,1745484465597.61,1745484465597.61,1745484465597.66,0.17,17.22,0.06,17.45
10,0,306,1745484465435.32,1745484465597.67,1745484465597.84,1745484465597.84,1745484465615.13,1745484465615.13,1745484465615.19,0.17,17.28,0.06,17.52
4,0,306,1745484465452.80,1745484465615.20,1745484465615.36,1745484465615.36,1745484465632.58,1745484465632.58,1745484465632.65,0.17,17.22,0.07,17.46
7,0,306,1745484465470.20,1745484465632.66,1745484465632.83,1745484465632.83,1745484465650.00,1745484465650.00,1745484465650.06,0.17,17.17,0.06,17.40
3,0,306,1745484465487.68,1745484465650.07,1745484465650.23,1745484465650.23,1745484465667.50,1745484465667.50,1745484465667.56,0.17,17.27,0.07,17.50
2,0,306,1745484465505.50,1745484465667.57,1745484465667.74,1745484465667.74,1745484465684.90,1745484465684.90,1745484465685.17,0.17,17.16,0.28,17.60
5,0,306,1745484465522.83,1745484465685.18,1745484465685.47,1745484465685.47,1745484465702.07,1745484465702.07,1745484465702.35,0.29,16.61,0.27,17.17
8,0,306,1745484465539.97,1745484465702.36,1745484465702.96,1745484465702.96,1745484465720.19,1745484465720.19,1745484465720.25,0.60,17.23,0.06,17.89
1,0,306,1745484465558.02,1745484465720.26,1745484465720.43,1745484465720.43,1745484465737.73,1745484465737.73,1745484465737.79,0.17,17.30,0.07,17.54
9,0,306,1745484465574.51,1745484465737.80,1745484465737.98,1745484465737.98,1745484465754.65,1745484465754.65,1745484465754.73,0.18,16.67,0.09,16.93
6,0,306,1745484465592.18,1745484465754.74,1745484465755.24,1745484465755.24,1745484465772.53,1745484465772.53,1745484465772.59,0.50,17.29,0.06,17.85
11,0,306,1745484465609.60,1745484465772.60,1745484465772.77,1745484465772.77,1745484465790.00,1745484465790.00,1745484465790.08,0.17,17.23,0.08,17.48
10,0,306,1745484465627.15,1745484465790.09,1745484465790.26,1745484465790.26,1745484465807.55,1745484465807.55,1745484465807.61,0.17,17.29,0.06,17.51
4,0,306,1745484465644.69,1745484465807.62,1745484465807.79,1745484465807.79,1745484465825.04,1745484465825.04,1745484465825.10,0.17,17.25,0.06,17.48
7,0,306,1745484465662.01,1745484465825.10,1745484465825.27,1745484465825.27,1745484465841.96,1745484465841.96,1745484465842.03,0.17,16.68,0.07,16.92
